spalva,kategorija,pirmas,antras,trecias
,false,25.93,,
Pink,false,98.48,0.5448,10554
Crimson,false,74.56,0.7766,37659
Blue,,10.07,0.1053,78803
Red,false,81.99,0.9349,95988
Maroon,true,85.35,0.0364,18650
Indigo,true,20.06,0.6533,66677
Violet,true,72.18,0.1664,70275
Pink,true,13.29,0.0123,52276
Aquamarine,false,,0.3299,3344
Puce,true,10.01,0.0557,88254
,true,46.45,,
Aquamarine,,70.67,0.6468,2872
Aquamarine,true,,0.4929,21490
Orange,false,11.4,0.5059,88751
Goldenrod,false,83.96,0.5319,1433
Crimson,false,6.63,0.5082,71859
Fuscia,false,59.58,0.9632,2886
Indigo,false,62.76,0.5947,42289
,,67.74,,
Green,true,63.28,0.3202,57618
Yellow,false,20.53,0.9067,83479
Khaki,false,,0.1695,5637
Crimson,true,45.24,0.7894,53446
,false,76.32,,
Pink,,64.9,0.811,31234
,true,6.89,,
Blue,true,64.26,0.0294,71355
Violet,true,53.23,0.1778,21521
Blue,false,,0.0401,54806
Indigo,false,27.74,0.2596,69167
Indigo,false,83.13,0.4581,97395
Puce,,10.07,0.8139,95362
Mauv,false,64.32,0.7051,69331
Yellow,false,9.74,0.397,18042
Maroon,true,64.0,0.9124,19762
Orange,false,64.79,0.6571,41459
Fuscia,,28.94,0.6628,57047
,false,71.48,,
Yellow,,17.93,0.4997,26563
Khaki,true,39.81,0.8766,28732
Blue,true,22.65,0.4524,8016
Fuscia,true,19.58,0.1911,13427
Yellow,,59.97,0.8424,77930
Khaki,false,10.41,0.8835,57578
Fuscia,,78.12,0.631,25901
Mauv,true,33.48,0.3465,28521
Orange,false,73.43,0.5856,46709
Yellow,true,88.51,0.124,6890
Puce,false,1.11,0.8148,1536
