fire_name,cause,month,year,county,acres,structures,deaths
Mendocino Complex,Under Investigation,July,2018,"Colusa County, Lake County, Mendocino County & Glenn County",459123,280,1
Thomas,Powerlines,December,2017,Ventura & Santa Barbara,281893,1063,2
Cedar,Human Related,October,2003,San Diego,273246,2820,15
Rush,Lightning,August,2012,Lassen,271911,0,0
Rim,Human Related,August,2013,Tuolumne,257314,112,0
Zaca,Human Related,July,2007,Santa Barbara,240207,1,0
Carr,Human Related,July,2018,"Shasta County,Trinity County",229651,1614,8
Matilija,Undetermined,September,1932,Ventura,220000,0,0
Witch,Powerlines,October,2007,San Diego,197990,1650,2
Klamath Theater Complex,Lightning,June,2008,Siskiyou,192038,0,2
Marble Cone,Lightning,July,1977,Monterey,177866,0,0
Laguna,Powerlines,September,1970,San Diego,175425,382,5
Basin Complex,Lightning,June,2008,Monterey,162818,58,0
Day Fire,Human Related,September,2006,Ventura,162702,11,0
Station,Human Related,August,2009,Los Angeles,160557,209,2
Camp Fire,Powerlines,November,2018,Butte,153336,18804,85
Rough,Lightning,July,2015,Fresno,151623,4,0
Mcnally,Human Related,July,2002,Tulare,150696,17,0
Stanislaus Complex,Lightning,August,1987,Tuolumne,145980,28,1
Big Bar Complex,Lightning,August,1999,Trinity,140948,0,0
