Track.Name,Artist.Name,Genre,Popularity
Senorita,Shawn Mendes,canadian pop,79
China,Anuel AA,reggaeton flow,92
boyfriend (with Social House),Ariana Grande,dance pop,85
Beautiful People (feat. Khalid),Ed Sheeran,pop,NaN
Goodbyes (Feat. Young Thug),Post Malone,dfw rap,94
I Don't Care (with Justin Bieber),Ed Sheeran,pop,84
Ransom,Lil Tecca,trap music,92
How Do You Sleep?,Sam Smith,pop,90
Old Town Road - Remix,Lil Nas X,country rap,87
bad guy,Billie Eilish,electropop,95
Callaita,Bad Bunny,reggaeton,93
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,dance pop,86
Someone You Loved,Lewis Capaldi,pop,88
Otro Trago - Remix,Sech,panamanian pop,87
Money In The Grave (Drake ft. Rick Ross),Drake,canadian hip hop,92
No Guidance (feat. Drake),Chris Brown,dance pop,82
LA CANCION,J Balvin,latin,90
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,91
Lalala,Y2K,NaN,88
Truth Hurts,Lizzo,escape room,91
Piece Of Your Heart,MEDUZA,pop house,91
Panini,Lil Nas X,country rap,91
No Me Conoce - Remix,Jhay Cortez,reggaeton flow,83
Soltera - Remix,Lunay,latin,91
bad guy (with Justin Bieber),Billie Eilish,electropop,NaN
