Track.Name,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
Senorita,117,55,76,-6,8,75,191,4,3,79
China,105,81,79,-4,8,61,302,8,9,92
boyfriend (with Social House),190,80,40,-4,16,70,186,12,46,85
Beautiful People (feat. Khalid),93,65,64,-8,8,55,198,12,19,NaN
Goodbyes (Feat. Young Thug),150,65,58,-4,11,18,175,45,7,94
I Don't Care (with Justin Bieber),102,68,80,-5,9,84,220,9,4,84
Ransom,180,64,75,-6,7,23,131,2,29,92
How Do You Sleep?,111,68,48,-5,8,35,202,15,9,90
Old Town Road - Remix,136,62,88,-6,11,64,157,5,10,87
bad guy,135,43,70,-11,10,56,194,33,38,95
Callaita,176,62,61,-5,24,24,251,60,31,93
Loco Contigo (feat. J. Balvin & Tyga),96,71,82,-4,15,38,185,28,7,86
Someone You Loved,110,41,50,-6,11,45,182,75,3,88
Otro Trago - Remix,176,79,73,-2,6,76,288,7,20,87
Money In The Grave (Drake ft. Rick Ross),101,50,83,-4,12,10,205,10,5,92
No Guidance (feat. Drake),93,45,70,-7,16,14,261,12,15,82
LA CANCION,176,65,75,-6,11,43,243,15,32,90
Sunflower - Spider-Man: Into the Spider-Verse,90,48,76,-6,7,91,158,56,5,91
Lalala,130,39,84,-8,14,50,161,18,8,88
Truth Hurts,158,62,72,-3,12,41,173,11,11,91
Piece Of Your Heart,124,74,68,-7,7,63,153,4,3,91
Panini,154,59,70,-6,12,48,115,34,8,91
No Me Conoce - Remix,92,79,81,-4,9,58,309,14,7,83
Soltera - Remix,92,78,80,-4,44,80,266,36,4,91
bad guy (with Justin Bieber),135,45,67,-11,12,68,195,25,30,NaN
