Track.Name,Artist.Name,Genre
If I Can't Have You,Shawn Mendes,canadian pop
Dance Monkey,Tones and I,australian pop
It's You,Ali Gatie,canadian hip hop
Con Calma,Daddy Yankee,latin
QUE PRETENDES,J Balvin,latin
Takeaway,The Chainsmokers,edm
7 rings,Ariana Grande,dance pop
0.958333333333333,Maluma,reggaeton
The London (feat. J. Cole & Travis Scott),Young Thug,atl hip hop
Never Really Over,Katy Perry,dance pop
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,big room
Otro Trago,Sech,panamanian pop
Antisocial (with Travis Scott),Ed Sheeran,pop
Sucker,Jonas Brothers,boy band
"fuck, i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,dance pop
Higher Love,Kygo,edm
You Need To Calm Down,Taylor Swift,dance pop
Shallow,Lady Gaga,dance pop
Talk,Khalid,pop
Con Altura,ROSALNA,r&b en espanol
One Thing Right,Marshmello,brostep
Te Robar,Nicky Jam,latin
Happier,Marshmello,brostep
Call You Mine,The Chainsmokers,edm
Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,NaN
