Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity
124,82,69,-4,13,87,191,49,6,70
98,59,82,-6,18,54,210,69,10,83
96,46,73,-7,19,40,213,37,3,89
94,86,74,-3,6,66,193,11,6,91
93,79,64,-4,36,94,222,3,25,89
85,51,29,-8,10,36,210,12,4,84
140,32,78,-11,9,33,179,59,33,89
96,71,78,-5,9,68,176,22,28,89
98,59,80,-7,13,18,200,2,15,89
100,88,77,-5,32,39,224,19,6,89
114,72,66,-7,14,32,164,18,6,89
176,70,75,-5,11,62,226,14,34,91
152,82,72,-5,36,91,162,13,5,87
138,73,84,-5,11,95,181,4,6,80
95,56,81,-6,6,68,199,48,7,78
104,68,69,-7,10,40,228,2,3,88
85,68,77,-6,7,73,171,1,5,90
96,39,57,-6,23,32,216,37,3,87
136,40,90,-9,6,35,198,5,13,84
98,69,88,-4,5,75,162,39,12,88
88,62,66,-2,58,44,182,7,5,88
176,75,67,-4,8,80,202,24,6,88
100,79,69,-3,17,67,214,19,5,NaN
104,70,59,-6,41,50,218,23,3,88
95,79,75,-6,7,61,206,21,12,82
